model,mode,partner,role,gpus,batch_size_per_gpu,total_steps,warmup_steps,measured_steps,end_to_end_sec,iter_mean_sec,iter_std_sec,iter_min_sec,iter_max_sec,throughput_samples_per_sec,avg_loss,gpu_memory_allocated_mb,gpu_memory_reserved_mb,solo_iter_mean_sec,slowdown_ratio
bert,pair,bert,primary,0/2/4/6,48,100,10,90,58.168,0.573102,0.003157,0.564402,0.580864,335.02,1.468532,27848.3,29920.0,0.39736,1.4423
bert,pair,densenet100_k12,primary,0/2/4/6,48,100,10,90,42.258,0.415672,0.002323,0.411196,0.420831,461.9,1.466901,27848.3,29920.0,0.39736,1.0461
bert,pair,densenet40_k12,primary,0/2/4/6,48,100,10,90,42.196,0.414924,0.001624,0.410899,0.418653,462.74,1.46643,27848.3,29920.0,0.39736,1.0442
bert,pair,googlenet,primary,0/2/4/6,48,100,10,90,44.851,0.442454,0.013785,0.413438,0.474726,433.94,1.464711,27848.3,29920.0,0.39736,1.1135
bert,pair,gpt2,primary,0/2/4/6,48,100,10,90,50.189,0.496104,0.051866,0.410969,0.585108,387.02,1.458081,27848.3,29920.0,0.39736,1.2485
bert,pair,inception3,primary,0/2/4/6,48,100,10,90,45.891,0.45312,0.009474,0.415333,0.473802,423.73,1.46578,27848.3,29920.0,0.39736,1.1403
bert,pair,resnet110,primary,0/2/4/6,48,100,10,90,42.275,0.41553,0.001751,0.411262,0.419544,462.06,1.476876,27848.3,29920.0,0.39736,1.0457
bert,pair,resnet44,primary,0/2/4/6,48,100,10,90,42.287,0.415733,0.002078,0.410565,0.420421,461.83,1.456318,27848.3,29920.0,0.39736,1.0462
bert,pair,resnet50,primary,0/2/4/6,48,100,10,90,44.511,0.438569,0.011391,0.412904,0.45771,437.79,1.478778,27848.3,29920.0,0.39736,1.1037
bert,pair,vgg16,primary,0/2/4/6,48,100,10,90,55.228,0.547387,0.031404,0.417058,0.598047,350.76,1.454399,27848.3,29920.0,0.39736,1.3776
bert,pair,whisper,primary,0/2/4/6,48,100,10,90,53.209,0.526024,0.046295,0.433444,0.596892,365.0,8.16033,27848.3,29920.0,0.39736,1.3238
densenet100_k12,pair,bert,primary,0/2/4/6,256,100,10,90,31.227,0.297749,0.014477,0.291859,0.426464,3439.14,2.331506,27298.6,29330.0,0.294928,1.0096
densenet100_k12,pair,densenet100_k12,primary,0/2/4/6,256,100,10,90,31.088,0.295936,0.013893,0.290915,0.422908,3460.2,2.333367,27307.1,29330.0,0.294928,1.0034
densenet100_k12,pair,densenet40_k12,primary,0/2/4/6,256,100,10,90,31.131,0.296608,0.019203,0.290593,0.424477,3452.36,2.330389,27298.7,29330.0,0.294928,1.0057
densenet100_k12,pair,googlenet,primary,0/2/4/6,256,100,10,90,32.171,0.301855,0.023251,0.293202,0.515581,3392.36,2.342295,27298.6,29330.0,0.294928,1.0235
densenet100_k12,pair,gpt2,primary,0/2/4/6,256,100,10,90,31.202,0.297038,0.015533,0.291343,0.439983,3447.37,2.336415,27307.1,29330.0,0.294928,1.0072
densenet100_k12,pair,inception3,primary,0/2/4/6,256,100,10,90,31.375,0.297847,0.017769,0.291716,0.459523,3438.0,2.326417,27298.6,29330.0,0.294928,1.0099
densenet100_k12,pair,resnet110,primary,0/2/4/6,256,100,10,90,31.204,0.298108,0.020945,0.290762,0.426091,3435.0,2.336467,27298.6,29330.0,0.294928,1.0108
densenet100_k12,pair,resnet44,primary,0/2/4/6,256,100,10,90,31.111,0.296879,0.015859,0.291536,0.437045,3449.22,2.331265,27307.1,29330.0,0.294928,1.0066
densenet100_k12,pair,resnet50,primary,0/2/4/6,256,100,10,90,31.513,0.300321,0.019536,0.29255,0.442846,3409.68,2.337553,27298.6,29330.0,0.294928,1.0183
densenet100_k12,pair,vgg16,primary,0/2/4/6,256,100,10,90,31.497,0.299586,0.018885,0.291329,0.440972,3418.05,2.331716,27298.6,29330.0,0.294928,1.0158
densenet100_k12,pair,whisper,primary,0/2/4/6,256,100,10,90,31.374,0.298846,0.015565,0.291328,0.440609,3426.52,2.336387,27298.6,29330.0,0.294928,1.0133
densenet40_k12,pair,bert,primary,0/2/4/6,512,100,10,90,16.584,0.148031,0.005493,0.145839,0.182466,13834.9,2.306395,10971.4,12294.0,0.147767,1.0018
densenet40_k12,pair,densenet100_k12,primary,0/2/4/6,512,100,10,90,16.49,0.147891,0.005522,0.145566,0.183092,13848.06,2.30852,10971.4,12294.0,0.147767,1.0008
densenet40_k12,pair,densenet40_k12,primary,0/2/4/6,512,100,10,90,16.503,0.147402,0.00545,0.145506,0.191687,13893.96,2.308894,10971.4,12294.0,0.147767,0.9975
densenet40_k12,pair,googlenet,primary,0/2/4/6,512,100,10,90,16.726,0.149253,0.008204,0.145838,0.204025,13721.68,2.306125,10971.4,12294.0,0.147767,1.0101
densenet40_k12,pair,gpt2,primary,0/2/4/6,512,100,10,90,16.513,0.147571,0.004129,0.145566,0.173451,13878.11,2.309069,10971.4,12294.0,0.147767,0.9987
densenet40_k12,pair,inception3,primary,0/2/4/6,512,100,10,90,16.827,0.148659,0.008039,0.145682,0.216666,13776.48,2.306744,10971.4,12294.0,0.147767,1.006
densenet40_k12,pair,resnet110,primary,0/2/4/6,512,100,10,90,16.572,0.148184,0.005503,0.145545,0.180343,13820.68,2.3073,10971.4,12294.0,0.147767,1.0028
densenet40_k12,pair,resnet44,primary,0/2/4/6,512,100,10,90,16.564,0.148805,0.009802,0.145606,0.213802,13763.02,2.308031,10971.4,12294.0,0.147767,1.007
densenet40_k12,pair,resnet50,primary,0/2/4/6,512,100,10,90,16.683,0.149706,0.011178,0.145873,0.241597,13680.16,2.306864,10971.4,12294.0,0.147767,1.0131
densenet40_k12,pair,vgg16,primary,0/2/4/6,512,100,10,90,16.69,0.149457,0.009591,0.145979,0.211004,13702.96,2.308302,10971.4,12294.0,0.147767,1.0114
densenet40_k12,pair,whisper,primary,0/2/4/6,512,100,10,90,16.519,0.147833,0.00325,0.145549,0.169222,13853.49,2.306995,10971.4,12294.0,0.147767,1.0004
googlenet,pair,bert,primary,0/2/4/6,256,100,10,90,21.565,0.148993,0.002427,0.145268,0.1605,6872.81,6.929534,12093.4,16460.0,0.151968,0.9804
googlenet,pair,densenet100_k12,primary,0/2/4/6,256,100,10,90,20.961,0.15311,0.03718,0.145435,0.43915,6688.0,6.928451,12093.4,16460.0,0.151968,1.0075
googlenet,pair,densenet40_k12,primary,0/2/4/6,256,100,10,90,21.338,0.153987,0.028724,0.144062,0.325088,6649.92,6.928146,12093.4,16460.0,0.151968,1.0133
googlenet,pair,googlenet,primary,0/2/4/6,256,100,10,90,22.866,0.162534,0.044562,0.145502,0.426094,6300.23,6.925832,12093.4,16460.0,0.151968,1.0695
googlenet,pair,gpt2,primary,0/2/4/6,256,100,10,90,21.372,0.1538,0.019581,0.144625,0.307219,6658.02,6.931065,12093.4,16460.0,0.151968,1.0121
googlenet,pair,inception3,primary,0/2/4/6,256,100,10,90,21.787,0.154127,0.022076,0.145665,0.312376,6643.87,6.930814,12093.4,16460.0,0.151968,1.0142
googlenet,pair,resnet110,primary,0/2/4/6,256,100,10,90,21.109,0.149704,0.015764,0.144464,0.295406,6840.16,6.926745,12093.4,16460.0,0.151968,0.9851
googlenet,pair,resnet44,primary,0/2/4/6,256,100,10,90,20.972,0.150138,0.012794,0.144788,0.237708,6820.38,6.927098,12093.4,16460.0,0.151968,0.988
googlenet,pair,resnet50,primary,0/2/4/6,256,100,10,90,21.865,0.151779,0.014625,0.14518,0.280509,6746.64,6.926203,12093.4,16460.0,0.151968,0.9988
googlenet,pair,vgg16,primary,0/2/4/6,256,100,10,90,21.687,0.151284,0.013614,0.145859,0.251615,6768.71,6.927116,12093.4,16460.0,0.151968,0.9955
googlenet,pair,whisper,primary,0/2/4/6,256,100,10,90,21.268,0.149327,0.002432,0.144897,0.160426,6857.42,6.924472,12093.4,16460.0,0.151968,0.9826
gpt2,pair,bert,primary,0/2/4/6,48,100,10,90,65.343,0.646087,0.037525,0.581457,0.707995,297.17,2.861715,46159.9,52696.0,0.538754,1.1992
gpt2,pair,densenet100_k12,primary,0/2/4/6,48,100,10,90,58.014,0.572633,0.002535,0.566812,0.577891,335.29,2.872071,46159.9,52696.0,0.538754,1.0629
gpt2,pair,densenet40_k12,primary,0/2/4/6,48,100,10,90,57.881,0.571283,0.001977,0.56689,0.576547,336.09,2.879244,46159.9,52696.0,0.538754,1.0604
gpt2,pair,googlenet,primary,0/2/4/6,48,100,10,90,60.143,0.594098,0.010878,0.570848,0.620068,323.18,2.86514,46159.9,52696.0,0.538754,1.1027
gpt2,pair,gpt2,primary,0/2/4/6,48,100,10,90,71.648,0.709783,0.005057,0.696691,0.721255,270.51,2.870607,46159.9,52696.0,0.538754,1.3175
gpt2,pair,inception3,primary,0/2/4/6,48,100,10,90,60.566,0.59878,0.014229,0.572687,0.628881,320.65,2.882837,46159.9,52696.0,0.538754,1.1114
gpt2,pair,resnet110,primary,0/2/4/6,48,100,10,90,58.039,0.573208,0.002429,0.567896,0.579295,334.96,2.864387,46159.9,52696.0,0.538754,1.064
gpt2,pair,resnet44,primary,0/2/4/6,48,100,10,90,58.032,0.57272,0.001791,0.568768,0.577562,335.24,2.877139,46159.9,52696.0,0.538754,1.063
gpt2,pair,resnet50,primary,0/2/4/6,48,100,10,90,59.24,0.584221,0.006637,0.572546,0.618281,328.64,2.867454,46159.9,52696.0,0.538754,1.0844
gpt2,pair,vgg16,primary,0/2/4/6,48,100,10,90,69.671,0.689133,0.028718,0.578804,0.738064,278.61,2.873213,46159.9,52696.0,0.538754,1.2791
gpt2,pair,whisper,primary,0/2/4/6,48,100,10,90,67.426,0.665848,0.039698,0.577146,0.727928,288.35,2.860066,46159.9,52696.0,0.538754,1.2359
inception3,pair,bert,primary,0/2/4/6,128,100,10,90,29.557,0.244595,0.005432,0.238068,0.282858,2093.26,7.075084,12550.4,17364.0,0.243816,1.0032
inception3,pair,densenet100_k12,primary,0/2/4/6,128,100,10,90,28.858,0.241,0.002194,0.237785,0.248608,2124.48,7.084802,12550.4,17364.0,0.243816,0.9885
inception3,pair,densenet40_k12,primary,0/2/4/6,128,100,10,90,28.688,0.24214,0.008605,0.237643,0.320016,2114.48,7.092604,12550.4,17364.0,0.243816,0.9931
inception3,pair,googlenet,primary,0/2/4/6,128,100,10,90,29.846,0.247463,0.02242,0.23856,0.455452,2069.0,7.085441,12550.4,17364.0,0.243816,1.015
inception3,pair,gpt2,primary,0/2/4/6,128,100,10,90,29.09,0.244286,0.0078,0.238468,0.311927,2095.9,7.083014,12550.4,17364.0,0.243816,1.0019
inception3,pair,inception3,primary,0/2/4/6,128,100,10,90,29.78,0.246647,0.019785,0.238895,0.428723,2075.84,7.086894,12550.4,17364.0,0.243816,1.0116
inception3,pair,resnet110,primary,0/2/4/6,128,100,10,90,29.415,0.242388,0.005754,0.237831,0.291164,2112.32,7.086991,12550.4,17364.0,0.243816,0.9941
inception3,pair,resnet44,primary,0/2/4/6,128,100,10,90,28.973,0.244927,0.029129,0.238402,0.514719,2090.42,7.077111,12550.4,17364.0,0.243816,1.0046
inception3,pair,resnet50,primary,0/2/4/6,128,100,10,90,29.69,0.244802,0.006663,0.239051,0.300115,2091.49,7.091447,12550.4,17364.0,0.243816,1.004
inception3,pair,vgg16,primary,0/2/4/6,128,100,10,90,29.614,0.246117,0.009325,0.240397,0.328025,2080.31,7.088702,12550.4,17364.0,0.243816,1.0094
inception3,pair,whisper,primary,0/2/4/6,128,100,10,90,29.356,0.246591,0.016829,0.236982,0.400388,2076.31,7.094859,12550.4,17364.0,0.243816,1.0114
resnet110,pair,bert,primary,0/2/4/6,512,100,10,90,16.689,0.150353,0.007519,0.145297,0.194369,13621.27,2.602444,4187.9,4898.0,0.146707,1.0249
resnet110,pair,densenet100_k12,primary,0/2/4/6,512,100,10,90,16.597,0.148725,0.010696,0.145102,0.22589,13770.4,2.422209,4187.9,4898.0,0.146707,1.0138
resnet110,pair,densenet40_k12,primary,0/2/4/6,512,100,10,90,16.543,0.148159,0.005982,0.144965,0.181586,13823.02,2.654368,4194.5,4898.0,0.146707,1.0099
resnet110,pair,googlenet,primary,0/2/4/6,512,100,10,90,17.212,0.153601,0.014001,0.145302,0.272351,13333.23,2.391769,4187.9,4898.0,0.146707,1.047
resnet110,pair,gpt2,primary,0/2/4/6,512,100,10,90,16.59,0.148916,0.005431,0.145357,0.184296,13752.75,2.438855,4187.9,4898.0,0.146707,1.0151
resnet110,pair,inception3,primary,0/2/4/6,512,100,10,90,16.923,0.150008,0.006047,0.145588,0.190301,13652.6,2.702278,4187.9,4898.0,0.146707,1.0225
resnet110,pair,resnet110,primary,0/2/4/6,512,100,10,90,16.573,0.14854,0.00948,0.145303,0.214632,13787.5,2.603119,4187.9,4898.0,0.146707,1.0125
resnet110,pair,resnet44,primary,0/2/4/6,512,100,10,90,16.467,0.147986,0.00601,0.144947,0.188625,13839.12,2.665566,4187.9,4898.0,0.146707,1.0087
resnet110,pair,resnet50,primary,0/2/4/6,512,100,10,90,16.893,0.150844,0.015416,0.145202,0.278883,13576.97,2.753445,4194.5,4898.0,0.146707,1.0282
resnet110,pair,vgg16,primary,0/2/4/6,512,100,10,90,16.849,0.150887,0.007596,0.146115,0.200797,13573.11,2.515973,4187.9,4898.0,0.146707,1.0285
resnet110,pair,whisper,primary,0/2/4/6,512,100,10,90,16.855,0.150349,0.007478,0.145582,0.195944,13621.6,2.603577,4187.9,4898.0,0.146707,1.0248
resnet44,pair,bert,primary,0/2/4/6,512,100,10,90,8.153,0.065073,0.004187,0.058799,0.078379,31472.4,2.468601,1760.0,2222.0,0.065612,0.9918
resnet44,pair,densenet100_k12,primary,0/2/4/6,512,100,10,90,8.108,0.06443,0.004821,0.05874,0.085203,31786.5,2.5122,1762.5,2222.0,0.065612,0.982
resnet44,pair,densenet40_k12,primary,0/2/4/6,512,100,10,90,8.097,0.06472,0.007447,0.058636,0.120513,31644.24,2.522921,1762.5,2222.0,0.065612,0.9864
resnet44,pair,googlenet,primary,0/2/4/6,512,100,10,90,8.374,0.066672,0.012569,0.058913,0.150154,30717.65,2.607327,1760.0,2222.0,0.065612,1.0162
resnet44,pair,gpt2,primary,0/2/4/6,512,100,10,90,8.181,0.065079,0.006125,0.058631,0.09377,31469.64,2.408432,1760.0,2222.0,0.065612,0.9919
resnet44,pair,inception3,primary,0/2/4/6,512,100,10,90,8.003,0.063099,0.005688,0.058803,0.088388,32457.08,2.460637,1760.0,2222.0,0.065612,0.9617
resnet44,pair,resnet110,primary,0/2/4/6,512,100,10,90,8.024,0.06411,0.006199,0.0586,0.100725,31945.23,2.475319,1760.0,2222.0,0.065612,0.9771
resnet44,pair,resnet44,primary,0/2/4/6,512,100,10,90,7.945,0.062931,0.007538,0.058634,0.113471,32543.66,2.473751,1762.5,2222.0,0.065612,0.9591
resnet44,pair,resnet50,primary,0/2/4/6,512,100,10,90,8.156,0.064442,0.00573,0.058839,0.088395,31780.58,2.494465,1760.0,2222.0,0.065612,0.9822
resnet44,pair,vgg16,primary,0/2/4/6,512,100,10,90,8.184,0.065528,0.005346,0.058922,0.088573,31253.78,2.509832,1760.0,2222.0,0.065612,0.9987
resnet44,pair,whisper,primary,0/2/4/6,512,100,10,90,8.302,0.066059,0.006066,0.05888,0.096873,31002.44,2.508587,1760.0,2222.0,0.065612,1.0068
