-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us     209.042ms        35.54%     209.042ms     209.042ms           0 b           0 b           0 b           0 b             1            --  
                                               aten::mm         1.11%       2.843ms         1.45%       3.701ms      25.008us     103.307ms        17.56%     103.307ms     698.021us           0 b           0 b       1.06 Gb       1.06 Gb           148    892644.360  
                        DistributedDataParallel.forward         0.00%       0.000us         0.00%       0.000us       0.000us      66.553ms        11.32%      66.553ms      66.553ms           0 b           0 b           0 b           0 b             1            --  
                                            aten::addmm         1.00%       2.551ms         1.82%       4.651ms      62.849us      53.540ms         9.10%      53.642ms     724.886us           0 b           0 b     892.45 Mb     892.45 Mb            74    446322.180  
                                     record_param_comms         0.90%       2.305ms         1.02%       2.612ms     118.750us      48.884ms         8.31%      48.884ms       2.222ms           0 b           0 b           0 b           0 b            22            --  
ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevComm*...         0.00%       0.000us         0.00%       0.000us       0.000us      48.864ms         8.31%      48.864ms       3.258ms           0 b           0 b           0 b           0 b            15            --  
                                        nccl:all_reduce         0.00%       0.000us         0.00%       0.000us       0.000us      48.864ms         8.31%      48.864ms       3.258ms           0 b           0 b           0 b           0 b            15            --  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us      36.411ms         6.19%      36.411ms       1.456ms           0 b           0 b           0 b           0 b            25            --  
                        ampere_sgemm_32x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us      31.425ms         5.34%      31.425ms     515.164us           0 b           0 b           0 b           0 b            61            --  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us      22.115ms         3.76%      22.115ms       1.701ms           0 b           0 b           0 b           0 b            13            --  
                        ampere_sgemm_64x32_sliced1x4_nt         0.00%       0.000us         0.00%       0.000us       0.000us      15.191ms         2.58%      15.191ms     310.014us           0 b           0 b           0 b           0 b            49            --  
                        ampere_sgemm_32x32_sliced1x4_nn         0.00%       0.000us         0.00%       0.000us       0.000us      14.210ms         2.42%      14.210ms       1.184ms           0 b           0 b           0 b           0 b            12            --  
                                  ampere_sgemm_64x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us      13.408ms         2.28%      13.408ms       1.117ms           0 b           0 b           0 b           0 b            12            --  
                                 ampere_sgemm_128x32_nn         0.00%       0.000us         0.00%       0.000us       0.000us      13.322ms         2.26%      13.322ms     271.869us           0 b           0 b           0 b           0 b            49            --  
                              Optimizer.step#AdamW.step         0.00%       0.000us         0.00%       0.000us       0.000us      11.468ms         1.95%      11.468ms      11.468ms           0 b           0 b           0 b           0 b             1            --  
                    aten::_efficient_attention_backward         0.16%     403.352us         0.62%       1.586ms     132.141us      11.101ms         1.89%      11.796ms     982.994us           0 b           0 b     223.98 Mb    -148.31 Mb            12            --  
fmha_cutlassB_f32_aligned_64x64_k64_dropout_sm80(PyT...         0.00%       0.000us         0.00%       0.000us       0.000us      11.101ms         1.89%      11.101ms     925.084us           0 b           0 b           0 b           0 b            12            --  
                                 ampere_sgemm_32x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us      10.764ms         1.83%      10.764ms      10.764ms           0 b           0 b           0 b           0 b             1            --  
                     aten::_efficient_attention_forward         0.10%     257.294us         0.30%     772.429us      64.369us       5.751ms         0.98%       5.751ms     479.238us         192 b           0 b      73.12 Mb           0 b            12            --  
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       5.751ms         0.98%       5.751ms     479.238us           0 b           0 b           0 b           0 b            12            --  
                                    aten::_foreach_mul_         0.14%     355.163us         0.18%     467.849us     116.962us       3.472ms         0.59%       3.472ms     868.046us           0 b           0 b           0 b           0 b             4            --  
                                            aten::copy_         0.33%     838.559us         0.79%       2.025ms       8.883us       3.395ms         0.58%       3.395ms      14.888us           0 b           0 b           0 b           0 b           228            --  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       3.295ms         0.56%       3.295ms      16.075us           0 b           0 b           0 b           0 b           205            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       2.324ms         0.40%       2.324ms     165.976us           0 b           0 b           0 b           0 b            14            --  
                                              aten::sum         0.55%       1.406ms         0.85%       2.180ms      25.054us       2.203ms         0.37%       2.203ms      25.321us           0 b           0 b       3.06 Mb       3.06 Mb            87            --  
                                aten::_foreach_addcdiv_         0.08%     211.260us         0.10%     263.630us     131.815us       2.198ms         0.37%       2.198ms       1.099ms           0 b           0 b           0 b           0 b             2            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       2.198ms         0.37%       2.198ms     244.187us           0 b           0 b           0 b           0 b             9            --  
                                aten::_foreach_addcmul_         0.08%     206.458us         0.10%     256.830us     128.415us       1.689ms         0.29%       1.689ms     844.342us           0 b           0 b           0 b           0 b             2            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       1.689ms         0.29%       1.689ms     187.631us           0 b           0 b           0 b           0 b             9            --  
                                   aten::_foreach_lerp_         0.02%      57.368us         0.04%      99.054us      49.527us       1.683ms         0.29%       1.683ms     841.494us           0 b           0 b           0 b           0 b             2            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       1.683ms         0.29%       1.683ms     210.374us           0 b           0 b           0 b           0 b             8            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.682ms         0.29%       1.682ms      22.732us           0 b           0 b           0 b           0 b            74            --  
                                              aten::mul         0.57%       1.448ms         0.98%       2.517ms      11.707us       1.585ms         0.27%       1.585ms       7.373us           0 b           0 b      73.00 Mb      73.00 Mb           215       128.389  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.514ms         0.26%       1.514ms      20.466us           0 b           0 b           0 b           0 b            74            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.337ms         0.23%       1.337ms       6.719us           0 b           0 b           0 b           0 b           199            --  
                       aten::_log_softmax_backward_data         0.01%      18.446us         0.06%     150.649us     150.649us       1.235ms         0.21%       1.235ms       1.235ms           0 b           0 b     238.45 Mb     238.45 Mb             1            --  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us       1.235ms         0.21%       1.235ms       1.235ms           0 b           0 b           0 b           0 b             1            --  
                                    aten::gelu_backward         0.05%     130.628us         0.08%     193.839us      14.911us       1.234ms         0.21%       1.234ms      94.900us           0 b           0 b     294.00 Mb     294.00 Mb            13            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.234ms         0.21%       1.234ms      94.900us           0 b           0 b           0 b           0 b            13            --  
                       aten::native_layer_norm_backward         0.14%     361.319us         0.37%     955.232us      36.740us       1.190ms         0.20%       1.190ms      45.762us           0 b           0 b     159.47 Mb           0 b            26            --  
                                    aten::_foreach_div_         0.07%     174.353us         0.09%     221.484us     110.742us       1.176ms         0.20%       1.176ms     588.004us           0 b           0 b           0 b           0 b             2            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       1.176ms         0.20%       1.176ms     147.001us           0 b           0 b           0 b           0 b             8            --  
                                    aten::_foreach_add_         0.19%     491.194us         0.27%     679.091us     169.773us       1.168ms         0.20%       1.168ms     291.994us           0 b           0 b           0 b           0 b             4            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       1.168ms         0.20%       1.168ms     145.997us           0 b           0 b           0 b           0 b             8            --  
                                    aten::_foreach_sqrt         0.15%     372.654us         0.46%       1.166ms     583.195us       1.165ms         0.20%       1.165ms     582.532us           0 b           0 b     417.76 Mb           0 b             2            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       1.165ms         0.20%       1.165ms     145.633us           0 b           0 b           0 b           0 b             8            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       1.149ms         0.20%       1.149ms     191.420us           0 b           0 b           0 b           0 b             6            --  
                                             aten::add_         0.18%     467.274us         0.28%     705.269us       2.810us     942.665us         0.16%     942.665us       3.756us           0 b           0 b           0 b           0 b           251            --  
                                     aten::_log_softmax         0.01%      28.801us         0.07%     170.627us     170.627us     843.910us         0.14%     843.910us     843.910us           0 b           0 b     238.45 Mb     238.45 Mb             1            --  
