-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us     222.395ms        47.94%     222.395ms     222.395ms           0 b           0 b           0 b           0 b             1            --  
                                               aten::mm         0.79%       2.025ms         1.14%       2.900ms      29.296us     130.046ms        28.03%     130.046ms       1.314ms           0 b           0 b       1.35 Gb       1.35 Gb            99   1170069.258  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us      43.206ms         9.31%      43.206ms       1.728ms           0 b           0 b           0 b           0 b            25            --  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us      41.776ms         9.00%      41.776ms       1.129ms           0 b           0 b           0 b           0 b            37            --  
                                            aten::addmm         0.71%       1.796ms         0.99%       2.525ms      52.595us      37.132ms         8.00%      37.132ms     773.587us           0 b           0 b     648.00 Mb     648.00 Mb            48    347892.351  
                        ampere_sgemm_64x32_sliced1x4_nn         0.00%       0.000us         0.00%       0.000us       0.000us      30.491ms         6.57%      30.491ms       2.345ms           0 b           0 b           0 b           0 b            13            --  
                                 ampere_sgemm_32x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us      13.352ms         2.88%      13.352ms       1.113ms           0 b           0 b           0 b           0 b            12            --  
                              Optimizer.step#AdamW.step         0.00%       0.000us         0.00%       0.000us       0.000us      12.851ms         2.77%      12.851ms      12.851ms           0 b           0 b           0 b           0 b             1            --  
                                 ampere_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us      11.898ms         2.56%      11.898ms     991.495us           0 b           0 b           0 b           0 b            12            --  
                    aten::_efficient_attention_backward         0.15%     379.603us         0.63%       1.598ms     133.207us      11.297ms         2.43%      11.982ms     998.541us           0 b           0 b     217.50 Mb    -146.32 Mb            12            --  
fmha_cutlassB_f32_aligned_64x64_k64_dropout_sm80(PyT...         0.00%       0.000us         0.00%       0.000us       0.000us      11.297ms         2.43%      11.297ms     941.401us           0 b           0 b           0 b           0 b            12            --  
                        ampere_sgemm_32x32_sliced1x4_nt         0.00%       0.000us         0.00%       0.000us       0.000us       9.975ms         2.15%       9.975ms     831.262us           0 b           0 b           0 b           0 b            12            --  
                                              aten::mul         0.60%       1.530ms         1.14%       2.902ms      19.875us       9.849ms         2.12%       9.849ms      67.457us           0 b           0 b       3.17 Gb       3.17 Gb           146       850.395  
                                 ampere_sgemm_128x32_nn         0.00%       0.000us         0.00%       0.000us       0.000us       9.130ms         1.97%       9.130ms     760.875us           0 b           0 b           0 b           0 b            12            --  
                     aten::_efficient_attention_forward         0.09%     235.907us         0.19%     494.146us      41.179us       5.761ms         1.24%       5.761ms     480.094us         192 b           0 b      73.12 Mb           0 b            12            --  
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       5.761ms         1.24%       5.761ms     480.094us           0 b           0 b           0 b           0 b            12            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.116ms         1.10%       5.116ms      60.187us           0 b           0 b           0 b           0 b            85            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.886ms         1.05%       4.886ms      57.484us           0 b           0 b           0 b           0 b            85            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.722ms         1.02%       4.722ms      78.706us           0 b           0 b           0 b           0 b            60            --  
                                    aten::_foreach_mul_         0.10%     248.987us         0.14%     356.610us      89.153us       3.945ms         0.85%       3.945ms     986.287us           0 b           0 b           0 b           0 b             4            --  
                        ampere_sgemm_64x32_sliced1x4_nt         0.00%       0.000us         0.00%       0.000us       0.000us       3.773ms         0.81%       3.773ms     314.426us           0 b           0 b           0 b           0 b            12            --  
                        ampere_sgemm_32x32_sliced1x4_nn         0.00%       0.000us         0.00%       0.000us       0.000us       3.516ms         0.76%       3.516ms     293.005us           0 b           0 b           0 b           0 b            12            --  
                                              aten::add         0.91%       2.309ms         1.01%       2.574ms      49.498us       2.912ms         0.63%       2.912ms      55.994us           0 b           0 b     873.24 Mb     873.24 Mb            52       228.914  
                                             aten::add_         0.17%     428.525us         0.24%     618.783us       3.125us       2.761ms         0.60%       2.761ms      13.946us           0 b           0 b           0 b           0 b           198            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       2.635ms         0.57%       2.635ms     202.662us           0 b           0 b           0 b           0 b            13            --  
                                aten::_foreach_addcdiv_         0.06%     154.743us         0.08%     201.006us     100.503us       2.446ms         0.53%       2.446ms       1.223ms           0 b           0 b           0 b           0 b             2            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       2.446ms         0.53%       2.446ms     305.778us           0 b           0 b           0 b           0 b             8            --  
                       aten::_log_softmax_backward_data         0.01%      19.380us         0.07%     180.581us     180.581us       2.125ms         0.46%       2.125ms       2.125ms           0 b           0 b     392.63 Mb     392.63 Mb             1            --  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us       2.125ms         0.46%       2.125ms       2.125ms           0 b           0 b           0 b           0 b             1            --  
                                     aten::_log_softmax         0.01%      26.590us         0.07%     180.569us     180.569us       2.016ms         0.43%       2.016ms       2.016ms           0 b           0 b     392.63 Mb     392.63 Mb             1            --  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us       2.016ms         0.43%       2.016ms       2.016ms           0 b           0 b           0 b           0 b             1            --  
                                aten::_foreach_addcmul_         0.07%     181.133us         0.09%     224.497us     112.249us       1.893ms         0.41%       1.893ms     946.519us           0 b           0 b           0 b           0 b             2            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       1.893ms         0.41%       1.893ms     236.630us           0 b           0 b           0 b           0 b             8            --  
                                   aten::_foreach_lerp_         0.02%      49.641us         0.04%      91.241us      45.621us       1.875ms         0.40%       1.875ms     937.655us           0 b           0 b           0 b           0 b             2            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       1.875ms         0.40%       1.875ms     234.414us           0 b           0 b           0 b           0 b             8            --  
                                              aten::sum         0.40%       1.018ms         0.58%       1.480ms      24.265us       1.561ms         0.34%       1.561ms      25.598us           0 b           0 b       2.94 Mb       2.94 Mb            61            --  
                                              aten::pow         0.15%     381.865us         0.28%     721.033us      30.043us       1.488ms         0.32%       1.488ms      61.994us           0 b           0 b     576.00 Mb     576.00 Mb            24            --  
                                    aten::_foreach_div_         0.06%     156.981us         0.08%     197.638us      98.819us       1.317ms         0.28%       1.317ms     658.533us           0 b           0 b           0 b           0 b             2            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       1.317ms         0.28%       1.317ms     188.152us           0 b           0 b           0 b           0 b             7            --  
                                    aten::_foreach_add_         0.13%     324.235us         0.19%     481.262us     120.316us       1.315ms         0.28%       1.315ms     328.627us           0 b           0 b           0 b           0 b             4            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       1.315ms         0.28%       1.315ms     187.787us           0 b           0 b           0 b           0 b             7            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       1.311ms         0.28%       1.311ms     187.219us           0 b           0 b           0 b           0 b             7            --  
                                    aten::_foreach_sqrt         0.12%     305.879us         0.37%     933.173us     466.587us       1.302ms         0.28%       1.302ms     651.220us           0 b           0 b     474.95 Mb           0 b             2            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       1.302ms         0.28%       1.302ms     162.805us           0 b           0 b           0 b           0 b             8            --  
                                              aten::cat         0.23%     590.751us         0.35%     892.803us      24.130us       1.286ms         0.28%       1.286ms      34.764us           0 b           0 b     360.50 Mb     360.50 Mb            37            --  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.229ms         0.26%       1.229ms      25.084us           0 b           0 b           0 b           0 b            49            --  
                                    aten::tanh_backward         0.04%     103.259us         0.06%     158.835us      13.236us       1.128ms         0.24%       1.128ms      93.998us           0 b           0 b     288.00 Mb     288.00 Mb            12            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.128ms         0.24%       1.128ms      93.998us           0 b           0 b           0 b           0 b            12            --  
                       aten::native_layer_norm_backward         0.13%     328.732us         0.36%     911.350us      36.454us       1.080ms         0.23%       1.080ms      43.216us           0 b           0 b     151.65 Mb           0 b            25            --  
